ID,Health,Type
1,20,Dove
2,40,Dove
3,80,Dove
4,100,Dove
5,100,Dove
6,40,Dove
7,100,Dove
8,40,Dove
9,60,Dove
10,60,Dove
11,60,Dove
12,80,Dove
13,100,Dove
14,40,Dove
15,100,Dove
16,40,Dove
17,80,Dove
18,20,Dove
19,40,Dove
20,80,Dove
21,60,Dove
22,40,Dove
23,20,Dove
24,40,Dove
25,20,Dove
26,100,Dove
27,60,Dove
28,100,Dove
29,100,Dove
30,60,Dove
31,80,Dove
32,80,Dove
33,40,Dove
34,60,Dove
35,40,Dove
36,80,Dove
37,100,Dove
38,40,Dove
39,80,Dove
40,100,Dove
41,80,Dove
42,60,Dove
43,80,Hawk
44,100,Hawk
45,60,Hawk
46,60,Hawk
47,20,Hawk
48,100,Hawk
49,40,Hawk
50,80,Hawk
51,20,Hawk
52,20,Hawk
53,20,Hawk
54,60,Hawk
55,80,Hawk
56,60,Hawk
57,40,Hawk
58,100,Hawk
59,80,Hawk
60,40,Hawk
61,80,Hawk
62,40,Hawk
63,20,Hawk
64,60,Hawk
