ID,Health,Type
1,80,Dove
2,100,Dove
3,40,Dove
4,40,Dove
5,100,Dove
6,100,Dove
7,100,Dove
8,80,Dove
9,80,Dove
10,40,Dove
11,20,Dove
12,80,Dove
13,60,Dove
14,100,Dove
15,80,Dove
16,20,Dove
17,100,Dove
18,80,Dove
19,60,Dove
20,60,Dove
21,100,Dove
22,100,Dove
23,100,Dove
24,40,Dove
25,40,Dove
26,100,Dove
27,60,Dove
28,20,Dove
29,100,Dove
30,20,Dove
31,40,Dove
32,100,Dove
33,60,Hawk
34,60,Hawk
35,100,Hawk
36,40,Hawk
37,60,Hawk
38,20,Hawk
39,20,Hawk
40,80,Hawk
41,20,Hawk
42,40,Hawk
43,60,Hawk
44,60,Hawk
45,20,Hawk
46,80,Hawk
47,40,Hawk
48,40,Hawk
49,80,Hawk
50,60,Hawk
51,100,Hawk
52,60,Hawk
53,80,Hawk
54,40,Hawk
