ID,Health,Type
1,20,Dove
2,60,Dove
3,100,Dove
4,40,Dove
5,20,Dove
6,20,Dove
7,40,Dove
8,80,Dove
9,100,Dove
10,40,Dove
11,80,Dove
12,40,Dove
13,80,Dove
14,40,Dove
15,40,Dove
16,20,Dove
17,80,Dove
18,60,Dove
19,40,Dove
20,80,Dove
21,40,Dove
22,100,Dove
23,20,Dove
24,80,Dove
25,80,Dove
26,100,Dove
27,100,Dove
28,100,Dove
29,20,Dove
30,20,Dove
31,40,Dove
32,40,Dove
33,20,Dove
34,100,Dove
35,40,Dove
36,20,Dove
37,20,Dove
38,40,Dove
39,40,Dove
40,20,Dove
41,80,Dove
42,60,Dove
43,20,Dove
44,100,Dove
45,20,Dove
46,40,Dove
47,60,Dove
48,80,Dove
49,60,Dove
50,60,Dove
51,20,Dove
52,60,Dove
53,40,Dove
54,80,Dove
55,60,Dove
56,80,Dove
57,20,Dove
58,100,Dove
59,80,Dove
60,100,Dove
61,20,Dove
62,100,Dove
63,100,Hawk
64,100,Hawk
65,80,Hawk
66,20,Hawk
67,20,Hawk
68,20,Hawk
69,80,Hawk
70,60,Hawk
71,100,Hawk
72,60,Hawk
73,20,Hawk
74,80,Hawk
75,60,Hawk
76,80,Hawk
77,40,Hawk
78,40,Hawk
79,100,Hawk
80,80,Hawk
81,100,Hawk
82,100,Hawk
83,20,Hawk
84,80,Hawk
